service_id,date,exception_type
B19622AVVTL-0011,20200601,1
B47094ASZKP-0021,20200425,1
B47094ASZKP-0021,20200502,1
B47094ASZKP-0021,20200509,1
B47094ASZKP-0021,20200516,1
B47094ASZKP-0021,20200523,1
B47094ASZKP-0021,20200530,1
B47095AVVKP-0021,20200426,1
B47095AVVKP-0021,20200501,1
B47095AVVKP-0021,20200503,1
B47095AVVKP-0021,20200510,1
B47095AVVKP-0021,20200517,1
B47095AVVKP-0021,20200524,1
B47095AVVKP-0021,20200531,1
B47095AVVKP-0021,20200601,1
B49107K1HCLA-0011,20200422,1
B49107K1HCLA-0011,20200423,1
B49107K1HCLA-0011,20200427,1
B49107K1HCLA-0011,20200428,1
B49107K1HCLA-0011,20200429,1
B49107K1HCLA-0011,20200504,1
B49107K1HCLA-0011,20200505,1
B49107K1HCLA-0011,20200506,1
B49107K1HCLA-0011,20200507,1
B49107K1HCLA-0011,20200511,1
B49107K1HCLA-0011,20200512,1
B49107K1HCLA-0011,20200513,1
B49107K1HCLA-0011,20200514,1
B49107K1HCLA-0011,20200518,1
B49107K1HCLA-0011,20200519,1
B49107K1HCLA-0011,20200520,1
B49107K1HCLA-0011,20200521,1
B49107K1HCLA-0011,20200525,1
B49107K1HCLA-0011,20200526,1
B49107K1HCLA-0011,20200527,1
B49107K1HCLA-0011,20200528,1
B49108K1PPLA-0011,20200424,1
B49108K1PPLA-0011,20200430,1
B49108K1PPLA-0011,20200508,1
B49108K1PPLA-0011,20200515,1
B49108K1PPLA-0011,20200522,1
B49108K1PPLA-0011,20200529,1
B57027ASZSZU-021,20200425,1
B57027ASZSZU-021,20200502,1
B57027ASZSZU-021,20200509,1
B57027ASZSZU-021,20200516,1
B57027ASZSZU-021,20200523,1
B57027ASZSZU-021,20200530,1
B57035AVVSZU-021,20200426,1
B57035AVVSZU-021,20200501,1
B57035AVVSZU-021,20200503,1
B57035AVVSZU-021,20200510,1
B57035AVVSZU-021,20200517,1
B57035AVVSZU-021,20200524,1
B57035AVVSZU-021,20200531,1
B57035AVVSZU-021,20200601,1
B63945K1HPLA-0071,20200422,1
B63945K1HPLA-0071,20200423,1
B63945K1HPLA-0071,20200424,1
B63945K1HPLA-0071,20200427,1
B63945K1HPLA-0071,20200428,1
B63945K1HPLA-0071,20200429,1
B63945K1HPLA-0071,20200430,1
B63945K1HPLA-0071,20200504,1
B63945K1HPLA-0071,20200505,1
B63945K1HPLA-0071,20200506,1
B63945K1HPLA-0071,20200507,1
B63945K1HPLA-0071,20200508,1
B63945K1HPLA-0071,20200511,1
B63945K1HPLA-0071,20200512,1
B63945K1HPLA-0071,20200513,1
B63945K1HPLA-0071,20200514,1
B63945K1HPLA-0071,20200515,1
B63945K1HPLA-0071,20200518,1
B63945K1HPLA-0071,20200519,1
B63945K1HPLA-0071,20200520,1
B63945K1HPLA-0071,20200521,1
B63945K1HPLA-0071,20200522,1
B63945K1HPLA-0071,20200525,1
B63945K1HPLA-0071,20200526,1
B63945K1HPLA-0071,20200527,1
B63945K1HPLA-0071,20200528,1
B63945K1HPLA-0071,20200529,1
B67837ASZLA-0071,20200425,1
B67837ASZLA-0071,20200502,1
B67837ASZLA-0071,20200509,1
B67837ASZLA-0071,20200516,1
B67837ASZLA-0071,20200523,1
