pathway_id,pathway_type,from_stop_id,to_stop_id,traversal_time,wheelchair_traversal_time
LM4KF1-LM4KFA,3,LM4KF1,LM4KFA,30,90
LM4KF1-LM4KFB,3,LM4KF1,LM4KFB,150,-1
LM4KF1-LM4KFC,3,LM4KF1,LM4KFC,150,-1
LM4KF1-LM4KFD,3,LM4KF1,LM4KFD,180,-1
LM1OPV-F01079,1,LM1OPV,F01079,30,-1
LM1DF1-F00962,1,LM1DF1,F00962,30,-1
F01749-LM2OV1,1,F01749,LM2OV1,30,30
F00937-LM3NY1,1,F00937,LM3NY1,60,-1
F00937-LM3NY2,1,F00937,LM3NY2,60,-1
LM3CN1-LM3CNJ,3,LM3CN1,LM3CNJ,60,-1
LM3CN1-LM3CNI,3,LM3CN1,LM3CNI,60,-1
F01324-LM2PF1,1,F01324,LM2PF1,30,-1
LM3CN1-LM3CNH,3,LM3CN1,LM3CNH,30,-1
F01324-LM2PF2,1,F01324,LM2PF2,30,60
F01018-LM2AS1,1,F01018,LM2AS1,60,-1
LM3CN1-LM3CNG,3,LM3CN1,LM3CNG,30,-1
LM3CN1-LM3CNF,3,LM3CN1,LM3CNF,30,-1
LM3CN1-LM3CNE,3,LM3CN1,LM3CNE,30,-1
LMXDFC-LM2DF1,3,LMXDFC,LM2DF1,30,-1
LM4KP3-LMXKPN,3,LM4KP3,LMXKPN,90,-1
LM4KP3-LMXKPM,3,LM4KP3,LMXKPM,90,-1
LM4KP3-LMXKPL,3,LM4KP3,LMXKPL,90,-1
LM4KP3-LMXKPK,3,LM4KP3,LMXKPK,60,120
056227-F01290,2,056227,F01290,120,-1
LM2BLF-LM2BL1,3,LM2BLF,LM2BL1,30,-1
F01289-LM3KV1,1,F01289,LM3KV1,60,-1
LM2BLB-LM2BL1,3,LM2BLB,LM2BL1,30,-1
LM4MKJ-LM4MK1,3,LM4MKJ,LM4MK1,120,-1
LM2KL1-F00959,1,LM2KL1,F00959,30,-1
F01336-LM4KP3,1,F01336,LM4KP3,30,-1
LM2KL1-F00958,1,LM2KL1,F00958,30,-1
056227-LM4KV1,1,056227,LM4KV1,60,-1
056227-LM4KV2,1,056227,LM4KV2,90,90
LM4MKJ-LM4MK2,3,LM4MKJ,LM4MK2,30,-1
F01252-LM3NT1,1,F01252,LM3NT1,30,-1
F01093-LM1VUM,1,F01093,LM1VUM,30,-1
LM3LEF-LM3LE1,3,LM3LEF,LM3LE1,30,-1
F01189-LM3CN1,1,F01189,LM3CN1,60,-1
LMXDFC-LM3DF1,3,LMXDFC,LM3DF1,30,-1
LM3DGE-LM3DG1,3,LM3DGE,LM3DG1,30,-1
LM1VUV-F01092,1,LM1VUV,F01092,30,-1
LM3LEB-LM3LE2,3,LM3LEB,LM3LE2,30,-1
LM3DGA-LM3DG1,3,LM3DGA,LM3DG1,30,-1
LM4KV1-056227,1,LM4KV1,056227,60,-1
LM3DF1-F00955,1,LM3DF1,F00955,30,-1
LM3NY1-F00936,1,LM3NY1,F00936,60,-1
LM3DF1-F00954,1,LM3DF1,F00954,30,-1
LM3NY1-F00937,1,LM3NY1,F00937,60,-1
LM3AHD-LM3AH1,3,LM3AHD,LM3AH1,90,-1
LM3AHD-LM3AH2,3,LM3AHD,LM3AH2,90,-1
LMXKPB-LM2KP1,3,LMXKPB,LM2KP1,60,-1
056227-F01289,2,056227,F01289,120,-1
LM3NYC-LM3NY2,3,LM3NYC,LM3NY2,30,-1
LM3NYC-LM3NY1,3,LM3NYC,LM3NY1,120,-1
F02682-L008159,1,F02682,L008159,30,60
LM4KV1-056228,1,LM4KV1,056228,60,-1
056226-LM4FT2,1,056226,LM4FT2,90,90
056223-LM4SG2,1,056223,LM4SG2,90,90
056223-LM4SG1,1,056223,LM4SG1,60,-1
LM3DG1-F02681,1,LM3DG1,F02681,30,-1
LM3DG1-F02680,1,LM3DG1,F02680,30,-1
L008084-F01233,1,L008084,F01233,60,-1
L008084-F01232,1,L008084,F01232,60,-1
056226-LM4FT1,1,056226,LM4FT1,60,-1
LM4MK1-LM4MKJ,3,LM4MK1,LM4MKJ,120,-1
LM4MK1-LM4MKI,3,LM4MK1,LM4MKI,60,-1
LM4MK2-LM4MKJ,3,LM4MK2,LM4MKJ,30,-1
LM4KVC-LM4KV1,3,LM4KVC,LM4KV1,60,-1
LM4KP2-056233,1,LM4KP2,056233,30,60
LM4MK1-LM4MKK,3,LM4MK1,LM4MKK,90,-1
LM4MK2-LM4MKK,3,LM4MK2,LM4MKK,60,-1
LM4KVC-LM4KV2,3,LM4KVC,LM4KV2,60,-1
LM4MK1-LM4MKF,3,LM4MK1,LM4MKF,60,-1
LM4MK2-LM4MKH,3,LM4MK2,LM4MKH,90,-1
LM4MK1-LM4MKE,3,LM4MK1,LM4MKE,60,-1
LM4MK2-LM4MKI,3,LM4MK2,LM4MKI,60,-1
LMXKPN-LM2KP1,3,LMXKPN,LM2KP1,90,-1
LM4MK1-LM4MKH,3,LM4MK1,LM4MKH,30,-1
LM4MK2-LM4MKF,3,LM4MK2,LM4MKF,120,-1
LM4MK1-LM4MKG,3,LM4MK1,LM4MKG,30,-1
LM4MK2-LM4MKG,3,LM4MK2,LM4MKG,120,-1
F01290-056227,2,F01290,056227,120,-1
F01290-056228,2,F01290,056228,120,-1
LM2ASF-LM2AS1,3,LM2ASF,LM2AS1,30,-1
F01085-LM1OKV,1,F01085,LM1OKV,30,-1
LM2BL1-LM2BLI,3,LM2BL1,LM2BLI,30,-1
LM2BL1-LM2BLH,3,LM2BL1,LM2BLH,30,-1
LMXKPF-LM2KP1,3,LMXKPF,LM2KP1,0,60
LM3NYK-LM3NY1,3,LM3NYK,LM3NY1,60,-1
LM2BL1-LM2BLG,3,LM2BL1,LM2BLG,30,-1
LM3NYK-LM3NY2,3,LM3NYK,LM3NY2,150,-1
LM3NYL-LM3NY2,3,LM3NYL,LM3NY2,150,-1
LM2BL1-LM2BLF,3,LM2BL1,LM2BLF,30,-1
LM3NYL-LM3NY1,3,LM3NYL,LM3NY1,60,-1
LM2BL1-LM2BLE,3,LM2BL1,LM2BLE,30,-1
LMXKPK-LM2KP1,3,LMXKPK,LM2KP1,60,90
LM2ASC-LM2AS1,3,LM2ASC,LM2AS1,30,-1
LM3CN1-F01188,1,LM3CN1,F01188,60,-1
LM3CN1-F01189,1,LM3CN1,F01189,60,-1
F00960-F00955,2,F00960,F00955,90,-1
F00960-F00954,2,F00960,F00954,90,-1
LM3NT1-F01252,1,LM3NT1,F01252,30,-1
056219-LM4UK1,1,056219,LM4UK1,60,90
LM3NYD-LM3NY2,3,LM3NYD,LM3NY2,60,-1
LM3NT1-F01253,1,LM3NT1,F01253,30,-1
LMXKPC-LM2KP1,3,LMXKPC,LM2KP1,60,-1
LMXKPB-LM4KP2,3,LMXKPB,LM4KP2,30,-1
LM3NYD-LM3NY1,3,LM3NYD,LM3NY1,90,-1
LMXKPB-LM4KP3,3,LMXKPB,LM4KP3,30,-1
LM2OVB-LM2OV1,3,LM2OVB,LM2OV1,30,-1
F01742-LM2PU1,1,F01742,LM2PU1,30,30
LM3AHG-LM3AH2,3,LM3AHG,LM3AH2,60,-1
LM3AHG-LM3AH1,3,LM3AHG,LM3AH1,180,-1
LM3CNF-LM3CN1,3,LM3CNF,LM3CN1,30,-1
